Transaction_Date,Transaction_Details,Amount,Dr_Cr
2024-01-01,SALARY CREDIT,50000,Cr
2024-01-02,SWIGGY FOOD DELIVERY,250,Dr
2024-01-03,UBER RIDE,120,Dr
2024-01-04,AMAZON PURCHASE,1500,Dr
2024-01-05,ELECTRICITY BILL,1200,Dr
2024-01-06,NETFLIX SUBSCRIPTION,199,Dr
2024-01-07,PETROL PUMP,800,Dr
2024-01-08,GROCERY STORE,450,Dr
2024-01-09,STARBUCKS COFFEE,180,Dr
2024-01-10,PHONE BILL,299,Dr
2024-01-11,FLIPKART ORDER,2200,Dr
2024-01-12,BONUS PAYMENT,10000,Cr
2024-01-13,RESTAURANT BILL,650,Dr
2024-01-14,BUS TICKET,25,Dr
2024-01-15,INTERNET BILL,599,Dr
